id,value-mode,value-type,value-computer,value-user,time
0,nib,0,65,66,31.745
1,nib,1,99,100,1.991
2,paint,3,0:0:181,0:-2:-3,29.568
3,nib,2,69,72,17.049
4,paint,2,179:179:0,182:182:0,11.412
5,paint,1,214:0:0,216:0:0,4.243
6,nib,1,63,70,108.749
7,nib,2,79,83,12.534
8,nib,1,96,100,1.428
9,paint,1,139:0:0,135:0:0,14.947
10,paint,3,0:0:196,0:-2:-3,14.185
11,paint,2,170:170:0,148:148:0,5.636
12,nib,2,56,60,173.599
13,paint,1,206:0:0,179:0:0,4.498
14,nib,1,52,63,6.331
15,paint,2,222:222:0,239:239:0,3.573
16,nib,0,58,65,25.777
17,paint,3,0:0:137,0:-2:-3,4.487
18,paint,1,70:0:0,110:0:0,234.29
19,paint,2,88:88:0,64:64:0,5.514
20,nib,2,60,22,74.101
21,paint,3,0:0:70,0:-2:-3,3.325
22,nib,1,92,100,1.744
23,nib,0,69,25,29.294
24,paint,2,190:190:0,214:214:0,362.297
25,paint,3,0:0:165,0:-2:-3,2.18
26,paint,1,110:0:0,155:0:0,14.155
27,nib,0,100,25,2.026
28,nib,2,64,43,15.717
29,nib,1,63,37,18.0
